municipal,activity,el_con_per,el_exp_per,ng_con_per,ng_exp_per,fo_con_per,fo_exp_per,emps,estabs,el_con_pu,el_con_MMBTU,el_exp_$_pu,el_exp_$_MMBTU,el_emissions,ng_con_pu,ng_con_MMBTU,ng_exp_$_pu,ng_exp_$_MMBTU,ng_emissions,fo_con_pu,fo_con_MMBTU,fo_exp_$_pu,fo_exp_$_MMBTU,fo_emissions,total_cons_MMBTU
Essex,Education,12.3,0.096,33.1,7.8,123.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Food sales ,52.0,0.094,63.6,8.1,82.80833333333332,3.3506666666666667,23.0,5.0,1196000.0,4080.752,112424.0,32949589.683470104,990288.0,677.6813559322034,67.76813559322034,5489.218983050847,54892.18983050847,79356.48677966102,0.0,0.0,0.0,0.0,0.0,4148.52013559322
Essex,Food service ,23.8,0.099,80.8,7.7,82.80833333333332,3.3506666666666667,406.0,14.0,9662800.000000002,32969.473600000005,956617.2000000002,280368464.2438453,8000798.400000001,24430.943157894733,2443.0943157894735,188118.26231578944,1881182.6231578942,2860863.4437894733,0.0,0.0,0.0,0.0,0.0,35412.56791578948
Essex,Health care Outpatient,10.0,0.094,21.3,8.4,82.80833333333332,3.24,16.0,4.0,160000.0,545.9200000000001,15040.0,4407971.8640093785,132480.0,206.21656050955414,20.621656050955416,1732.2191082802549,17322.191082802547,24147.959235668794,194.0985138004246,26.97969341825902,628.8791847133757,4524.310681391192,4343.924738853502,593.5213494692144
Essex,Lodging ,29.1,0.095,83.7,7.6,49.6,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Mercantile Retail (other than mall) ,20.5,0.099,30.7,8.4,82.80833333333332,3.55,10.0,5.0,205000.0,699.46,20295.0,5948124.267291911,169740.0,181.6938775510204,18.16938775510204,1526.2285714285713,15262.285714285712,21276.35306122449,84.49829931972789,11.745263605442178,299.968962585034,2158.0500905398126,1891.07193877551,729.3746513605444
Essex,Mercantile Enclosed and strip malls,24.4,0.096,49.1,8.4,82.80833333333332,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essex,Office ,7.5,0.10400000000000001,12.4,8.4,10.9,3.42,261.0,46.0,1957500.0,6678.99,203580.00000000003,59665885.11137164,1620810.0,1913.88438538206,191.388438538206,16076.628837209304,160766.28837209303,224115.86152823924,207.93289036544854,28.90267176079735,711.130485049834,5116.046655034776,4653.538086378739,6899.281110299004
Essex,Public assembly ,25.9,0.098,60.4,8.1,49.5,3.34,27.0,9.0,699300.0,2386.0116000000003,68531.40000000001,20085404.454865184,579020.4,863.8027397260273,86.38027397260274,6996.802191780821,69968.0219178082,101151.3008219178,112.90068493150685,15.693195205479453,377.0882876712328,2712.8653789297323,2526.717328767123,2488.0850691780824
Essex,Religious worship ,12.2,0.106,67.8,8.2,238.1,3.44,20.0,3.0,244000.0,832.528,25864.0,7580304.806565064,202032.0,1025.2682926829268,102.52682926829269,8407.199999999999,84071.99999999999,120058.91707317074,203.25609756097563,28.252597560975616,699.2009756097561,5030.222846113353,4548.8714634146345,963.3074268292683
