group,axis,value,ng_con_per,consump,ng_exp_per,fo_con_per,fo_exp_per,emps,estabs,el_con_pu,el_con_MMBTU,el_exp_$_pu,el_exp_$_MMBTU,el_emissions,ng_con_pu,ng_con_MMBTU,ng_exp_$_pu,ng_exp_$_MMBTU,ng_emissions,fo_con_pu,fo_con_MMBTU,fo_exp_$_pu,fo_exp_$_MMBTU,fo_emissions,total_cons_MMBTU
Essex,Education,0.34,33.1,0.331,7.8,123.6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex,Food sales ,0.5,63.6,0.636,8.1,82.80833333,3.350666667,23,5,1196000,4080.752,112424,32949589.68,990288,677.6813559,67.76813559,5489.218983,54892.18983,79356.48678,0,0,0,0,0,4148.520136
Essex,Food service ,0.7,80.8,0.808,7.7,82.80833333,3.350666667,406,14,9662800,32969.4736,956617.2,280368464.2,8000798.4,24430.94316,2443.094316,188118.2623,1881182.623,2860863.444,0,0,0,0,0,35412.56792
Essex,Health care Outpatient,0.1,21.3,0.213,8.4,82.80833333,3.24,16,4,160000,545.92,15040,4407971.864,132480,206.2165605,20.62165605,1732.219108,17322.19108,24147.95924,194.0985138,26.97969342,628.8791847,4524.310681,4343.924739,593.5213495
Essex,Lodging ,0.54,83.7,0.837,7.6,49.6,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex,Mercantile Retail (other than mall) ,0.65,30.7,0.307,8.4,82.80833333,3.55,10,5,205000,699.46,20295,5948124.267,169740,181.6938776,18.16938776,1526.228571,15262.28571,21276.35306,84.49829932,11.74526361,299.9689626,2158.050091,1891.071939,729.3746514
Essex,Mercantile Enclosed and strip malls,0.76,49.1,0.491,8.4,82.80833333,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex,Office ,0.7,12.4,0.124,8.4,10.9,3.42,261,46,1957500,6678.99,203580,59665885.11,1620810,1913.884385,191.3884385,16076.62884,160766.2884,224115.8615,207.9328904,28.90267176,711.130485,5116.046655,4653.538086,6899.28111
Essex,Public assembly ,0.3,60.4,0.604,8.1,49.5,3.34,27,9,699300,2386.0116,68531.4,20085404.45,579020.4,863.8027397,86.38027397,6996.802192,69968.02192,101151.3008,112.9006849,15.69319521,377.0882877,2712.865379,2526.717329,2488.085069
Essex,Religious worship ,0.78,67.8,0.678,8.2,238.1,3.44,20,3,244000,832.528,25864,7580304.807,202032,1025.268293,102.5268293,8407.2,84072,120058.9171,203.2560976,28.25259756,699.2009756,5030.222846,4548.871463,963.3074268
